Name,Diocese,Lead,Score,Bulletin PDF,Bulletin URL,Address,Phone,Email,Website,Facebook,Instagram,YouTube,Twitter,Lat,Lng
"Saint Anthony of Padua Roman Catholic Church","Archdiocese of New York","Not Suitable","1","No","","436, Port Reading Avenue, Port Reading, NJ, 07064","+1 732 634 1403","","","No","No","No","No","40.5652079","-74.2537082"
"Roman Catholic Church of the Transfiguration","Archdiocese of New York","Not Suitable","1","No","","263, Marcy Avenue, 11211","+1-718-388-8773","","","No","No","No","No","40.7054316","-73.9558504"
"St. Teresa of the Infant Jesus's Church","Archdiocese of New York","Not Suitable","1","No","","1634, Victory Boulevard, 10314","+1-718-442-5412","","","No","No","No","No","40.6130484","-74.1179675"
"Blessed Sacrament Church Catholic Church","Archdiocese of New York","Not Suitable","1","No","","15, Shea Place, New Rochelle, NY, 10801","+1 914-632-3700","","","No","No","No","No","40.9060329","-73.7832528"
"Annunciation Church Catholic Church","Archdiocese of New York","Not Suitable","1","No","","","+1 914-779-7345","","","No","No","No","No","40.9704842","-73.8209013"
"Saints John and Paul Catholic Church","Archdiocese of New York","Not Suitable","1","No","","280, Weaver Street, Larchmont, NY, 10538","+1 914-834-4597","","","No","No","No","No","40.941247","-73.7560222"
"Saint Agnes Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7925984","-80.2003257"
"Iglesia Catolica Santa Barbara","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7753769","-80.2094927"
"Our Lady of Lakes Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7559336","-80.3553304"
"Ukrainian Catholic Church Assumption of the Blessed Virgin Mary","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.782321","-80.1983812"
"Visitation Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7975983","-80.2261599"
"Traditional Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8462076","-80.2261598"
"Christ the King Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8239862","-80.221993"
"Good Shepherd Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8465784","-80.2352042"
"Haitian Catholic Center","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8656514","-80.2122703"
"Mother of Christ Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8684421","-80.1939048"
"Our Lady of the Divine Providence Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8670403","-80.242827"
"Saint Basil Catholic Church Byzantine Rite","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7600997","-80.2344936"
"Saint Dominics Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7720437","-80.2164375"
"Saint Cecilia Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7781545","-80.2025481"
"Saint Josephs Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7920442","-80.2276267"
"Saint Jude at Assumption Catholic Church-Melkite Rite","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7892652","-80.1997701"
"Santa Martha Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8031537","-80.2219931"
"Saint Michaels Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.826764","-80.2483828"
"Santa Rosa of Lima Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8378746","-80.2261598"
"Saint Kierans Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7423224","-80.2139375"
"Saint Thomas the Apostle Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.712061","-80.3119937"
"Saint John Bosco","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.7737693","-80.2172649"
"Notre Dame d'Haiti Mission","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.8318991","-80.1937491"
"Cor Jesu Chapel","Archdiocese of Miami","Not Suitable","0","No","","","","","","No","No","No","No","25.879162","-80.1963755"
"Saint Augustine Church","Archdiocese of Miami","Not Suitable","0","No","","1400, Miller Road, Coral Gables, FL, 33146","","","","No","No","No","No","25.7186485","-80.2832056"
"Saint James Catholic Church","Archdiocese of Miami","Not Suitable","0","No","","370, Grand Concession, Miami Shores, 33138","","","","No","No","No","No","25.8630333","-80.1897187"
"Christ the King Church","Archdiocese of Miami","Not Suitable","0","No","","16000, Southwest 112th Avenue, Miami, FL, 33157","","","","No","No","No","No","25.6197904","-80.375467"
"Our Lady of Assumption Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1273081","-80.1039329"
"Saint Luke Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.2448039","-80.1872687"
"Saint Gabriel Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1475852","-80.102544"
"Saint Henry Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1739732","-80.1344893"
"Saint Jerome Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1128673","-80.1372983"
"Saint Helen Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1673069","-80.2081028"
"Saint Gregory Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","200, North University Drive, Plantation, FL, 33324","","","","No","No","No","No","26.123951","-80.2538245"
"Saint Clement Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.0864764","-80.1414342"
"Saint Anthony Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1256416","-80.1289337"
"Nativity Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.0295341","-80.1442121"
"Annunciation Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.0114794","-80.190047"
"Saint Stephens Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.014257","-80.1581015"
"Saint Maximilian Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.0130685","-80.2957584"
"Saint Charles Borromeo Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.0128681","-80.1636572"
"Saint Bernadette Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.0223941","-80.1441349"
"All Saints Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1673395","-80.294992"
"Saint Andrew Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","9950, Northwest 29th Street, Coral Springs, FL, 33065","","","","No","No","No","No","26.2658796","-80.258781"
"Saint Paul Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.2750725","-80.0863264"
"Blessed Sacrament Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.1679655","-80.1235557"
"Saint Edward Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","FL","","","","No","No","No","No","26.0056751","-80.4031287"
"Saint Colemans Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.2149372","-80.1054443"
"Mary Help of Christian's Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","","","","","No","No","No","No","26.3035114","-80.249741"
"Saint Sebastian's Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","2000, Marietta Drive, Fort Lauderdal, FL, 33316","","","","No","No","No","No","26.0962087","-80.1121755"
"St. Anthony Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","901, Northeast 2nd Street, Fort Lauderdale, FL, 33301","","","","No","No","No","No","26.1249514","-80.1340284"
"Resurrection Roman Catholic","Diocese of Fort Lauderdale","Not Suitable","0","No","","441, Northeast 2nd Place, Dania Beach, FL, 33004","","","","No","No","No","No","26.057907","-80.1362915"
"Saint Katharine Drexel Catholic Church","Diocese of Fort Lauderdale","Not Suitable","0","No","","2501, South Post Road, Weston, FL, 33331","","","","No","No","No","No","26.0901839","-80.411044"
"Saint Teresa Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","28.580831","-80.801165"
"Saint Pierre Liberal Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","28.1406","-80.6317"
"Saint John the Evangelist Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","28.2616936","-80.7375378"
"Our Lady of Grace","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","27.9977859","-80.6650782"
"Saint Joseph's Catholic Church","Diocese of Orlando","Not Suitable","0","No","","1425, Northeast Miller Street, Palm Bay, FL, 32905","","","","No","No","No","No","28.0337957","-80.5864192"
"Saint Lukes Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","27.8798627","-80.5195387"
"Saint Joseph Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","28.0158728","-80.6229583"
"Saint Pauls Polish National Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.0597125","-82.0606999"
"Saint Jude Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.1933099","-82.0942572"
"Epiphany Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.2891462","-81.0622785"
"Saint Pauls Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.2238699","-81.0289443"
"Saint Timothy Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","28.9471061","-81.9537538"
"Saint Joseph of the Forest Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.1730556","-81.8661111"
"San Jose Catholic Mission","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.2058333","-81.45"
"Saint Peters Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.028634","-81.309789"
"Holy Dormition Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.254561","-81.198562"
"Saint Peters Catholic Church San Jose Mission","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.2057","-81.4503"
"Saint John the Baptist Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.4000678","-81.5103131"
"Our Lady of Hope Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.129002","-81.0245653"
"Saint Mary's Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.4058146","-81.1938368"
"Santa Maria del Mar Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.4868181","-81.1317305"
"Mother Seton Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.4680758","-81.1233395"
"Saint Stephen Catholic Chapel","Diocese of Orlando","Not Suitable","0","No","","2400, East Moody Boulevard, Bunnell, FL, 32110","","","","No","No","No","No","29.4761157","-81.2427886"
"St Brendan Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.3156715","-81.053255"
"Saint Clare Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","28.922537","-81.1813019"
"Epiphany Catholic Church Church","Diocese of Orlando","Not Suitable","0","No","","201, Lafayette Street, Port Orange, 32127","","","","No","No","No","No","29.1339913","-80.9864465"
"Our Lady of the Springs Catholic Church","Diocese of Orlando","Not Suitable","0","No","","","","","","No","No","No","No","29.2089794","-82.0792312"
"Saint Margarets Catholic Church","Diocese of Venice","Not Suitable","0","No","","","","","","No","No","No","No","26.7553","-80.9319"
"Our Lady of Grace Catholic Church","Diocese of Venice","Not Suitable","0","No","","595, East Main Street, Avon Park, FL, 33825","","","","No","No","No","No","27.5962","-81.4906"
"Saint Maximilian Kolbe Catholic Church","Diocese of Venice","Not Suitable","0","No","","","","","","No","No","No","No","27.0056042","-82.1602396"
"St. Mary's Ukrainian Catholic Church","Diocese of Venice","Not Suitable","0","No","","","","","","No","No","No","No","27.0783771","-82.2458735"
"Sacred Heart Catholic Church","Diocese of Venice","Not Suitable","0","No","","","","","","No","No","No","No","27.237147","-80.838663"
"Saint Johns Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0512165","-73.9192668"
"Saint Nicholas Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6134409","-74.1062556"
"Lady of Pity Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.818434","-73.921248"
"Saint Adalbert's Polish Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8203785","-73.9145811"
"Saint Jerome's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","230, Alexander Avenue, 10454","","","","No","No","No","No","40.8098338","-73.925058"
"Holy Trinity Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9373209","-73.8831909"
"Saint Margaret's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.936867","-73.8898701"
"Monastery of the Blessed Sacrament","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9406541","-73.89208"
"Saint Mary's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9113562","-73.8473972"
"Saint Catherine's Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9120436","-73.8120779"
"Holy Trinity Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9502989","-73.7307407"
"Saint Valentine's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8830921","-73.8583349"
"Roman Catholic Church of Christ the King","Archdiocese of New York","Not Suitable","0","No","","141, Marcy Place, 10452","","","","No","No","No","No","40.8376953","-73.9155914"
"Saint John Chrysostom Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","985, East 167th Street, 10459","","","","No","No","No","No","40.8269291","-73.8906029"
"Saint Joan of Arc Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8338889","-73.8763889"
"Saint John Vianney Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8213889","-73.8491667"
"Saint Raymond's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","1759, Castle Hill Avenue, 10461","","","","No","No","No","No","40.8417364","-73.8536121"
"Saint Boniface Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6944803","-73.7167296"
"Roman Catholic Church of Saint Aloysius","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.7077778","-73.9141667"
"Saint Pius V Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6934071","-73.8044016"
"Saint Stanislaus Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6820859","-73.8514997"
"Saint Pius X Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6561052","-73.7384741"
"Generoso Pope Catholic Center at New York University","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.7299234","-73.9981687"
"Saint Elias Greek Rite Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.73114","-73.9550963"
"Good Shepherd Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.605129","-73.9403471"
"Our Lady of Good Counsel Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6870995","-73.9251443"
"Our Lady Queen of Martyrs Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8637712","-73.9280369"
"Saint Roslia Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","1230, 65th Street, Brooklyn, NY, 11219","","","","No","No","No","No","40.6266829","-74.003167"
"Coptic Orthodox Church of Saint George","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6272597","-74.0066341"
"Roman Catholic Church of Our Lady of Good Counsel","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6164615","-73.7397579"
"Saint Gabriel's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0188498","-74.0966731"
"Madonna Roman Catholic Church and Christ the Reacher School","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8513605","-73.9746199"
"Saint Nicholas Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5162164","-74.2734793"
"Saint Stephen's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5158587","-74.2637694"
"Holy Family Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5784377","-74.2215337"
"Saint Elias Byzantine Rite Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5776044","-74.2201448"
"Saint Elizabeth's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5778822","-74.2248672"
"Saint Andrew's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5794962","-74.2800796"
"Our Lady of Mount Carmel Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5509379","-74.2790352"
"Saint Casimir Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9250986","-74.1604217"
"Saint Teresa Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9164876","-74.1415322"
"Blessed Sacrament Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9325985","-74.1520881"
"Holy Rosary Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8641848","-74.1109586"
"Saint Joseph Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8677039","-74.1201641"
"Slavonian Catholic Church of the Assumption","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8680849","-74.1175724"
"Saint Catherine Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0920405","-74.2657038"
"Holy Spirit Byzantine Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0989849","-74.1523667"
"Saint Anthony's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0050111","-73.9457105"
"Saint Joseph's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9507811","-74.0245228"
"Saint Michael's Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8478778","-73.9959722"
"Our Lady of Mount Carmel Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9237099","-73.9640265"
"Saint Paul's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9350984","-74.1779223"
"Saint Georges Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8934323","-74.1559772"
"Sacred Heart Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6676251","-74.2028407"
"Saint Anthony's Convent","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6587139","-74.2070894"
"Saint Michael's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6612139","-74.2029226"
"Saint Nicholas Carpathia Russian Greek Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.647863","-74.2160507"
"Saint Peter and Paul's Greek Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6503808","-74.1957001"
"Immaculate Heart of Mary Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6506587","-74.1893111"
"Saint Johns Greek Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6126035","-74.277369"
"Our Lady Help of the Christians Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.7645452","-74.2143124"
"Saint Vladimir's Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6576028","-74.2173675"
"Saint Marys Orthodox Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6708319","-74.117485"
"Saint Peter The Apostle Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9263889","-74.0461111"
"Saint Catherines Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9558333","-74.1313889"
"St. Paul Ukrainian Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0595494","-74.1482051"
"St. Cassian's Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8408421","-74.2049112"
"Saint Nicholas Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","38, Olive Street, 11211","","","","No","No","No","No","40.7136895","-73.9384636"
"Saint Adalbert Catholic Church","Archdiocese of New York","Not Suitable","0","No","","52-29, 83rd Street, 11373","","","","No","No","No","No","40.7323487","-73.8829259"
"Saint Theresa of the Infant Jesus Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","2855, Saint Theresa Avenue, 10461","","","","No","No","No","No","40.8497177","-73.8336925"
"Saint Teresa of Avila Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","109-26, 130th Street, 11420","","","","No","No","No","No","40.6839214","-73.8133135"
"Hallel Institute","Archdiocese of New York","Not Suitable","0","No","","175, route 340, Sparkill, NY, 10976","","","","No","No","No","No","41.0394034","-73.9333963"
"Assumption Church","Archdiocese of New York","Not Suitable","0","No","","29, Jefferson Avenue, Emerson, NJ, 07630","","","","No","No","No","No","40.9765492","-74.0251466"
"Iglesia","Archdiocese of New York","Not Suitable","0","No","","971, Jennings Street","","","","No","No","No","No","40.8317077","-73.8884211"
"Church of Joseph","Archdiocese of New York","Not Suitable","0","No","","2325, Bragg Street, Brooklyn, NY, 11229","","","","No","No","No","No","40.5958882","-73.935008"
"St. Genevieve's Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5661539","-73.8892231"
"St. Thomas the Apostle Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5249459","-74.2105912"
"Virgin Mary Tree","Archdiocese of New York","Not Suitable","0","No","","60th Street, West New York, NJ, 07093","","","","No","No","No","No","40.7894277","-74.016058"
"Our Lady Mother of the Church","Archdiocese of New York","Not Suitable","0","No","","209, Woodcliff Avenue, Woodcliff Lake, NJ, 07677","","","","No","No","No","No","41.0208419","-74.0640815"
"Our Lady of Victories Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.9856166","-73.9816357"
"Sacred Heart Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8512866","-74.1152516"
"St. Paul Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","41.0512736","-74.1512565"
"Saint Paul the Apostle Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.909817","-73.8798565"
"Saint Margaret Mary Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5769235","-73.947667"
"St Mary's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","17, Pompton Avenue, Pompton Lakes, NJ, 07442","","","","No","No","No","No","41.0021043","-74.2898186"
"Newman Catholic Center","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.8593264","-74.1966176"
"Holy Cross Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","18, Van Duyne Avenue, Wayne, NJ, 07470","","","","No","No","No","No","40.9105294","-74.2611755"
"Korean Catholic Apostolate Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6298554","-74.0807959"
"Our Lady of Lebanon Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","109, Remsen Street, 11201","","","","No","No","No","No","40.6942066","-73.9941251"
"Church of Saint Joseph","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.5529513","-74.213048"
"Father Capodanno Memorial Chapel","Archdiocese of New York","Not Suitable","0","No","","203, New York Avenue, 10305","","","","No","No","No","No","40.60488","-74.0598493"
"Saint Peter's Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","49, Saint Marks Place, 10301","","","","No","No","No","No","40.6471801","-74.0848523"
"Saint Stanislaus Kostka Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","109, York Avenue, 10301","","","","No","No","No","No","40.6438134","-74.0873232"
"Church of the Assumption","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.635571","-74.0893824"
"Mount Calvary Holy Church","Archdiocese of New York","Not Suitable","0","No","","9, Dubois Avenue, 10310","","","","No","No","No","No","40.6316689","-74.1290392"
"Church of Saint Rita","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6043262","-74.1313042"
"Saint Sylvester Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","856, Targee Street, 10304","","","","No","No","No","No","40.6075778","-74.0900026"
"Saint Michael's Church","Archdiocese of New York","Not Suitable","0","No","","266, Mulberry Street, New York, 10012","","","","No","No","No","No","40.7239541","-73.9952219"
"Saint Gerard Magella Catholic Church","Archdiocese of New York","Not Suitable","0","No","","188-16, 91st Avenue, 11423","","","","No","No","No","No","40.711856","-73.7707018"
"San Lorenzo Ruiz Chapel","Archdiocese of New York","Not Suitable","0","No","","378, Broome Street, New York, 10013","","","","No","No","No","No","40.7205517","-73.9963025"
"Our Lady of Victory Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6817161","-73.9401779"
"Saint Anastasia Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","45-05, 245th Street, 11362","","","","No","No","No","No","40.7654843","-73.7408401"
"Saint Nicholas of Tolentine Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","150-75, Goethals Avenue, 11432","","","","No","No","No","No","40.718597","-73.8098156"
"Saint Robert Bellarmine Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.750232","-73.7652062"
"Saint Ephrems Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.6256505","-74.0157473"
"Incarnation Roman Catholic Church","Archdiocese of New York","Not Suitable","0","No","","","","","","No","No","No","No","40.7195249","-73.7574743"
"Roman Catholic Church of the Precious Blood","Archdiocese of New York","Not Suitable","0","No","","70, Bay 47th Street, 11214","","","","No","No","No","No","40.5903068","-73.9862039"
